@RELATION Heights

@ATTRIBUTE Height numeric
@ATTRIBUTE class {M,F}

@DATA
187.5714232,M
174.7060363,M
188.2396677,M
182.1966851,M
177.4997615,M
170.8226598,M
174.7141064,M
173.6052294,M
170.2281321,M
161.1794947,M
180.836271,M
181.967645,M
164.506476,M
175.978998,M
175.8790799,M
171.819874,M
183.9425242,M
162.4947873,M
176.8857521,M
172.5574523,M
172.5042275,M
176.3761773,M
168.0187952,M
191.023173,M
172.4487187,M
173.0858433,M
175.4876638,M
184.9141425,M
171.2499554,M
173.980895,M
174.2900008,M
188.0458714,M
181.6816687,M
175.7176092,M
176.726094,M
178.8183594,M
175.4534748,M
170.6715491,M
167.1505818,M
163.3326372,M
172.654814,M
183.3611419,M
165.7866776,M
167.8690505,M
171.4762166,M
178.0661571,M
173.3596646,M
183.3186812,M
175.7168384,M
185.0907148,M
164.5477608,M
178.2662167,M
173.9682836,M
171.0203104,M
170.156998,M
168.9088567,M
173.6167639,M
179.767126,M
180.8884461,M
177.833948,M
181.3640828,M
176.6620929,M
187.4990778,M
170.1720822,M
181.4029034,M
165.8094225,M
173.4164463,M
184.8240397,M
172.9724247,M
174.9976334,M
175.9953553,M
179.1289903,M
176.9458621,M
171.6919828,M
184.1706258,M
180.9825834,M
182.3953347,M
183.5027203,M
168.9420743,M
167.7137464,M
171.645971,M
173.3462842,M
187.5183626,M
177.2982595,M
167.5373276,M
180.5407046,M
169.1543392,M
175.1368991,M
173.340933,M
183.6847358,M
182.4111679,M
165.7021058,M
179.4269464,M
164.419091,M
170.44302,M
165.3984116,M
182.1211344,M
169.7555106,M
168.8370392,M
176.3052766,M
177.9325308,M
169.5287558,M
168.336796,M
173.5542579,M
177.992756,M
174.5817899,M
171.5923702,M
168.2842266,M
175.7227948,M
171.7271266,M
176.0035546,M
173.2043374,M
181.8819979,M
175.7600181,M
170.8453809,M
187.1603912,M
176.6245261,M
173.511362,M
172.0569672,M
182.132637,M
161.6259521,M
174.5518441,M
170.0513278,M
159.2757539,M
183.5363587,M
180.1079788,M
171.7290027,M
179.8359597,M
176.0341134,M
168.2569618,M
171.4301702,M
167.1478707,M
181.4670124,M
173.8995908,M
162.5293285,M
180.3448201,M
173.0748994,M
173.7243166,M
172.9643982,M
173.0770995,M
174.9046294,M
168.0180855,M
168.1633214,M
171.2775853,M
176.4566093,M
179.1102836,M
181.1994751,M
180.3449397,M
168.1539632,M
184.2599999,M
171.3975535,M
165.9900428,M
179.9439185,M
177.6437272,M
164.4391313,M
176.0433433,M
174.8496957,M
157.3208011,M
174.2270723,M
165.655182,M
163.4074662,M
174.622223,M
184.1237247,M
170.7741845,M
170.8495563,M
165.4010009,M
168.3075629,M
171.9622663,M
166.4479678,M
177.4671833,M
173.9439634,M
183.4234669,M
173.176013,M
182.8322646,M
167.8054473,M
169.306657,M
171.7025375,M
173.344698,M
164.6138985,M
171.4302344,M
173.179056,M
176.6655977,M
168.6617142,M
169.1440791,M
182.7171519,M
173.449086,M
177.686846,M
182.501868,M
167.0189665,M
170.2609043,M
194.8429805,M
184.3306483,M
177.1111644,M
184.910029,M
184.2499593,M
183.6286482,M
170.823445,M
192.8989294,M
168.4432291,M
180.7363759,M
180.8281938,M
183.3816805,M
190.8576864,M
163.6052846,M
164.4254379,M
161.0730513,M
172.3356097,M
167.4667335,M
180.2550381,M
171.6550981,M
174.2167469,M
178.6248737,M
183.8819802,M
179.8849761,M
167.3943852,M
189.9802526,M
171.9095343,M
170.5761454,M
182.3080967,M
164.2496891,M
173.0318316,M
169.6387952,M
169.6868586,M
172.430475,M
175.7008854,M
178.3713052,M
164.7337299,M
172.2655769,M
161.1382286,M
182.4950245,M
169.4893071,M
182.7994964,M
193.0942226,M
181.5492973,M
171.119314,M
179.2103191,M
177.4624373,M
172.5868279,M
188.2255795,M
175.6863042,M
169.0553606,M
169.4220767,M
170.805005,M
175.3905191,M
179.5087778,M
166.3674476,M
165.575541,M
171.6230832,M
187.4910796,M
181.8806731,M
172.0208631,M
173.3070752,M
167.4607311,M
181.7331791,M
175.677528,M
174.2380547,M
180.4860776,M
161.6559113,M
180.8034367,M
167.9668299,M
165.2457277,M
172.9520909,M
180.3225855,M
188.5217842,M
176.0908802,M
164.9256092,M
173.6009795,M
180.1599777,M
156.1536354,M
173.9666643,M
183.0067203,M
184.2050342,M
180.9341349,M
183.5381526,M
171.6152014,M
183.5597218,M
159.0046299,M
168.2405507,M
176.912111,M
175.9862404,M
179.642208,M
174.824682,M
167.6766477,M
168.6938004,M
169.203686,M
172.8084473,M
179.076091,M
175.6606329,M
179.8193574,M
165.5937179,M
189.9557144,M
180.5099419,M
176.1088624,M
177.543978,M
163.6399922,M
172.344412,M
171.5746365,M
189.909315,M
181.4041228,M
170.4856747,M
177.4433533,M
173.814266,M
172.5510458,M
173.9781716,M
165.7201243,M
178.2707942,M
180.6044982,M
173.8568495,M
166.1682651,M
171.9600018,M
188.5265802,M
180.7648045,M
170.7661606,M
172.4166204,M
171.1359937,M
174.6535672,M
182.1313922,M
176.2277268,M
187.2399802,M
176.4115756,M
179.7971761,M
182.2918979,M
176.1323731,M
165.8265048,M
180.1414848,M
174.2355232,M
174.2536429,M
176.4760101,M
167.4644764,M
174.0492971,M
187.7799753,M
180.8427621,M
169.0537307,M
182.2253816,M
177.1518665,M
169.5466615,M
177.0187525,M
178.8249328,M
175.3101297,M
164.4200094,M
180.3351091,M
163.7279282,M
177.1637874,M
181.678196,M
